Name,RA(phi),Dec(theta)
Andromeda,4.71656,40.8654
Antlia,143.876,-34.0776
Apus,229.529,-75.5806
Aquarius,330.14,-10.3965
Aquila,286.982,3.0208
Ara,252.012,-53.3316
Aries,33.3472,21.4512
Auriga,81.5478,39.4485
Bootes,258.926,29.7845
Caelum,63.46,-39.1962
Camelopardalis,85.0373,66.7185
Cancer,123.019,19.4922
Canes_Venatici,181.945,39.5974
Canis_Major,97.0854,-22.4837
Canis_Minor,106.582,6.33238
Capricornus,308.313,-18.3079
Carina,137.467,-60.8629
Cassiopeia,6.68764,60.9759
Centaurus,111.721,-47.0604
Cepheus,335.889,68.1722
Cetus,16.1255,-9.22012
Chamaeleon,155.346,-78.7785
Circinus,242.135,-62.8002
Columba,82.3408,-35.8279
Coma_Berenices,184.668,23.051
Corona_Australis,275.104,-40.0069
Corona_Borealis,231.113,32.1216
Corvus,179.718,-18.3881
Crater,164.036,-16.3694
Crux,179.598,-60.3577
Cygnus,297.025,43.2767
Delphinus,301.509,13.5831
Dorado,73.0699,-64.9547
Draco,299.201,63.1812
Equuleus,313.086,7.20704
Eridanus,49.1393,-19.691
Fornax,35.4196,-30.8027
Gemini,98.8551,22.7262
Grus,331.937,-44.9343
Hercules,253.621,27.8246
Horologium,40.4134,-52.6149
Hydra,121.51,-17.1232
Hydrus,25.7469,-70.4752
Indus,318.717,-58.1983
Lacerta,330.551,46.3576
Leo,152.515,13.6506
Leo_Minor,147.694,33.0482
Lepus,78.3079,-18.9526
Libra,221.718,-16.5586
Lupus,222.406,-42.3086
Lynx,112.48,47.8736
Lyra,277.75,37.8202
Mensa,72.8967,-75.7368
Microscopium,307.297,-36.6053
Monoceros,95.5977,-1.53307
Musca,179.752,-68.9697
Norma,234.993,-52.1709
Octans,337.688,-82.0541
Ophiuchus,253.858,-5.33424
Orion,76.5876,3.02933
Pavo,285.363,-64.9614
Pegasus,333.059,19.8756
Perseus,43.2222,44.6487
Phoenix,6.41848,-46.5142
Pictor,79.5323,-53.8619
Pisces,3.16349,10.7761
Piscis_Austrinus,328.878,-30.3732
Puppis,107.385,-33.7975
Pyxis,123.884,-28.6122
Reticulum,51.9088,-62.1927
Sagitta,290.728,18.439
Sagittarius,278.582,-26.6401
Scorpius,246.501,-33.0394
Sculptor,0.497908,-31.5136
Scutum,270.645,-9.38617
Serpens,243.816,4.8062
Sextans,147.268,-2.75086
Taurus,60.4076,17.6122
Telescopium,283.166,-50.247
Triangulum,24.5342,31.6794
Triangulum_Australe,234.64,-65.3128
Tucana,352.571,-61.2728
Ursa_Major,153.808,53.5578
Ursa_Minor,291.477,76.3726
Vela,133.29,-47.5045
Virgo,97.5626,-2.93016
Volans,111.867,-69.685
Vulpecula,294.436,24.5797
